"-- All --",--Todos--
"-- First Please Select a Website --","--Por favor seleccione un sitio web--"
"-- No Theme --","-Sin tema--"
"-- None --","-- Ninguno --"
"-- Please Select --","-- Por favor, seleccione --"
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please Select a Category --","--Por favor, seleccione una categoría--"
"-- Please Select Billing Agreement--","-- Por favor, seleccione el acuerdo de facturación--"
"-- Select --","-- Seleccione --"
"--Please Select--",--Seleccione--
"""%1"" is not a valid file.","""%1"" no es un archivo válido."
"""%1"" is not a valid hostname.","""%1"" no es un nombre de host válido."
"""%1"" is not a valid image format","""%1"" no es un formato de imagen válido"
"""%1"" is not a valid image format.","""%1"" no es un formato de imagen válido."
"""%1"" is not a valid URL.","""%1"" no es una dirección URL válida."
"""%1"" length must be equal or greater than %2 characters.","""%1"" longitud debe ser igual o mayor que %2 caracteres."
"""%1"" length must be equal or less than %2 characters.","La longitud de ""%1"" debe ser igual o menor a los caracteres de %2."
"""%1"" section source is not supported","no se admite la fuente de la sección ""%1"""
"""%1"" uses too many characters.","""%1"" utiliza demasiados caracteres."
"""%1"" was copied to %2.","""%1"" se copio en %2."
"""%1"" was moved to %2.","""%1"" fue movido a %2."
"""%1"" width exceeds allowed value of %2 px.","""%1"" ancho excede el valor permitido de %2 px."
"""file"" parameter must be specified","se debe especificar el parámetro ""file"""
"""file"" parameter must be specified and must not be empty","Parámetro ""archivo"" debe ser especificado y no debe estar vacío"
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","¿Necesita una cuenta nueva Relic? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Haga click aquí para obtener una"
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Por Pedido"" permite una única tarifa de gastos de manipulación para todo el pedido. ""Por Paquete"" permite una tarifa de gastos de gestión individual para cada paquete."
"""Remember Me"" Default Value","Valor predeterminado de ""Recordarme"""
(Allow),(Permitir)
"(Copy data from: %1)","(Copiar información desde: %1)"
(Deny),(Denegar)
"(Excl. Tax)","(Impuesto no incluido)"
(free,(gratis
"(Incl. Tax)","(Incl. impuesto)"
"(no data)","(sin datos)"
(now),(ahora)
"[ deleted ]","[ eliminado ]"
"[%1 days ago]","[hace %1 días]"
"[%1 hours ago]","[hace %1 horas]"
"[%1 minutes ago]","[ hace %1 minutos]"
"[%1 months ago]","[%1 meses atrás]"
"[%1 weeks ago]","[hace %1]"
"[%1 years ago]","[hace %1 años]"
"[STORE VIEW]","[VISTA DE TIENDA]"
[WEBSITE],[SITIO_WEB]
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","no se recomienda utilizar {{base_url}} en un entorno de producción para declarar la URL Base Insegura/Segura. Le recomendamos cambiar este valor en su <a href=""%1"">configuración</a> Magento."
{size},{tamaño}
"{width}^{height} px",{ancho}^{alto}px
"* - Enter custom price excluding tax","* - Introduzca el precio a medida sin impuestos"
"* - Enter custom price including tax","* - Introduzca el precio a medida con impuestos"
"* applicable to visitors and registered customers","* aplicable a clientes registrados y visitantes"
"* Required Fields","* Campos obligatorios"
"&copy; Magento Commerce Inc., %1","© Magento Commerce Inc., %1"
&nbsp,
"# of Items (and above)","Nº de elementos (o más)"
"# of Items vs. Destination","Nº de elementos vs. destino"
"%1 - Discounts and Coupons","%1 - Descuentos y cupones"
"%1 - Special Products","%1 - artículos especiales"
"%1 (Default)","%1 (por defecto)"
"%1 / %2 rate:","tarifa %1 / %2 :"
"%1 & applied","%1 y aplicado"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 al %5 de estas condiciones coincide con:"
"%1 An empty value is allowed as well.","%1 un valor vació también es aceptado."
"%1 and above","%1 y superior"
"%1 and greater","%1 y mayor"
"%1 cache type(s) disabled.","%1 tipo(s) de memoria cache deshabilitado(s)."
"%1 cache type(s) enabled.","%1 tipo(s) de memoria cache habilitado(s)."
"%1 cache type(s) refreshed.","%1 tipo(s) de memoria cache actualizado(s)."
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","%d reglas del precio de catálogo basadas en el atributo ""%s"" se han desactivado."
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","la clase %1 no implementa \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","Clade %1 no implementa \Magento\Payment\Model\MethodInterface"
"%1 coupon(s) have been generated.","Se han generado %1 cupones."
"%1 does not contain field '%2'","%1 no contiene el campo '%2'"
"%1 does not contain field 'file'","%1 no contiene el campo 'archivo'"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 no extiende \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 no se extiende a \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 no extiende \Magento\Checkout\CustomerData\ItemInterface"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 no extiende a \Magento\Customer\CustomerData\SectionSourceInterface"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 no se extiende a \Magento\Framework\Filter\Template"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 no extiende \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 no extiende \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 no se extiende a \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 no se extiende a \Magento\Catalog\Model\Product\Type\Price"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 no se extiende a \Magento\Framework\Model\AbstractModel"
"%1 doesn't implement SortInterface","%1 no implementa SortInterface"
"%1 email(s) were sent.","%1 email(s) fueron enviados."
"%1 for ""%2""","%1 por ""%2"""
"%1 for ""%2"".","%1 por ""%2""."
"%1 for %2","%1 para %2"
"%1 for item %2 cannot be empty.","%1 para el elemento %2 no puede estar vacío."
"%1 has been added to your Wish List.","%1 se ha agregado a su lista de deseos."
"%1 has been moved to your wish list.","%1 se ha movido a su lista de deseos."
"%1 has been updated in your Wish List.","%1 se ha actualizado en su lista de deseos."
"%1 has reached a quantity of %2.","%1 ha alcanzado una cantidad de %2."
"%1 index is locked by another reindex process. Skipping.","El índice %1 se encuentra bloqueado por otro proceso de reindexación. Se omitirá."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 de los indexadores están en modo ""Actualizado Programado""."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 de los indexadores están en modo ""Actualizado al guardar""."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 invitation(s) no se enviaron, porque ya existen cuentas de clientes de correo electrónico."
"%1 is available to buy in increments of %2","%1 está disponible para comprar en incrementos de %2"
"%1 is not a correct comparison method.","%1 no es un método de comparación correcto."
"%1 is required parameter.","%1 es parámetro necesario."
"%1 is required.","Se requiere %1."
"%1 Item","%1 artículo"
"%1 Item(s)","%1 artículo(s)"
"%1 item(s) have been added to the gift registry.","se han añadido elementos de %1 en el registro de regalo."
"%1 item(s) need your attention.","%1 artículo(s) necesitan su atención."
"%1 items","%1 artículos"
"%1 Items","%1 artículos"
"%1 items","%1 artículos"
"%1 items are already present in %2: %3.","%1 elementos ya están presentes en %2: %3."
"%1 items cannot be moved: %2.","%1 artículos no se pueden mover: %2."
"%1 items in wish list","%1 artículos en lista de deseos"
"%1 items were copied to %2: %3.","%1 artículos fueron copiados a %2: %3."
"%1 items were moved to %2: %3.","%1 artículos fueron trasladados a %2: %3."
"%1 order(s) cannot be canceled.","No se puede cancelar %1 pedidos."
"%1 order(s) have been released from on hold status.","%1 los pedidos han sido liberados de en estado de espera."
"%1 order(s) were not put on hold.","%1 pedidos no fueron puestos en espera."
"%1 order(s) were not released from on hold status.","%1 los pedidos no eran liberados de en estado de espera."
"%1 product requires your attention.","El artículo %1 requiere su atención."
"%1 product(s) have been added to shopping cart: %2.","%1 artículo(s) se ha(n) añadido al carrito de compras: %2."
"%1 products require your attention.","Los artículos %1 requieren su atención."
"%1 Review(s)","%1 reseña(s)"
"%1 Reward points","%1 puntos de recompensa"
"%1 Reward points (%2)","%1 puntos de recompensa (%2)"
"%1 RMA (s) have been closed.","%1 RMA (s) han sido cerradas."
"%1 RMA(s) cannot be closed","%1 RMA(s) no se puede cerrar"
"%1 spent = %2 earned","%1 gastado = %2 ganado"
"%1 store reward points available","%1 puntos de recompensa disponibles"
"%1 store reward points available (%2)","%1 puntos de recompensa disponibles (%2)"
"%1 was deducted because of refund.","%1 se dedujo por reembolso."
"%1 was not found in algorithms","%1 no se encuentra en los algoritmos"
"%1 was updated in your shopping cart.","%1 fueron actualizados en su carrito de la compra."
"%1 with %2 discount each","%1 con %2 de descuento cada uno"
"%1's Wish List","Lista de deseos de %1"
"%1's Wish List (%2)","Lista de deseos de %1 (%2)"
"%1's Wishlist","Lista de regalo de %1"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name quiere compartir esta lista de %store_name :"
"%fieldName is a required field.","%fieldName es un campo obligatorio."
"%inviter_name invites you to join Private Sales Site","%inviter_name te invita a unirte al sitio Private Sales"
"%operation_name - Scheduled Export Failed","%operation_name - exportación programada fallo"
"%operation_name - Scheduled Import Failed","%operation_name - importación programada falló"
"%s SKU(s) processed successfully","%s SKU(s) procesado(s) con éxito"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender ha enviado una tarjeta de regalo para utilizar en <a href=""%store_url""> %store_name</a> y ahora está listo para ser utilizado para las compras."
"%sender_name wants to share this product with you:","%sender_name quiere compartir este producto contigo:"
"%store_name  - Scheduled Import Failed","%store_name - importación programada falló"
"%store_name - Scheduled Export Failed","%store_name - exportación programada falló"
"%store_name : New Return # %increment_id","%store_name: Nueva devolución # %increment_id"
"%store_name : New Return #%increment_id","%store_name: Nueva devolución #%increment_id"
"%store_name offers limited time sales of products only to members.","%store_name oferta de venta de tiempo limitado de productos sólo a los miembros."
"%store_name:  New customer comment","%store_name: nuevo comentario de cliente"
"%store_name: New Return # %increment_id","%store_name: Nueva devolución # %increment_id"
"%store_name: Return # %increment_id update","%store_name: Regreso a la actualización # %increment_id"
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Imprimir recibo</a>"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4""> (%4)</a>"
"<a href=""%1"">Learn more</a>.","<a href=""%1""> Aprende más</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal""> ¡Comience a aceptar pagos a través de PayPal!</a>"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> ¿Por qué anunciar financiamiento?</a> <br/>                         <strong>Impulsa tus ventas cuando anuncias financiamiento.</strong> <br/> PayPal ayuda a convertir los visitantes en compradores con el financiamiento de PayPal Credit®. Sus clientes tienen más tiempo para pagar, recibe el pago por adelantado – sin costo adicional para usted.                         Uso gratis banners de PayPal que anuncian el financiamiento PayPal Credit® como una opción de pago cuando sus clientes pagan con PayPal.                         El programa de publicidad de PayPal ha demostrado generar compras adicionales así como incrementar los tamaños promedio de compra del consumidor en 15% o más. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Ver más información</a>."
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> ¿Por qué anunciar financiamiento?</a> <br/>                         <strong>Impulsa tus ventas cuando anuncias financiamiento.</strong> <br/> PayPal ayuda a convertir los visitantes en compradores con el financiamiento de PayPal Credit®. Sus clientes tienen más tiempo para pagar, recibe el pago por adelantado – sin costo adicional para usted.                         Uso gratis banners de PayPal que anuncian el financiamiento PayPal Credit® como una opción de pago cuando sus clientes pagan con PayPal.                         El programa de publicidad de PayPal ha demostrado generar compras adicionales así como incrementar los tamaños promedio de compra del consumidor en 15% o más. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Ver más información</a>."
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> ¿Por qué anunciar financiamiento?</a> <br/>                         <strong>Impulsa tus ventas cuando anuncias financiamiento.</strong> <br/> PayPal ayuda a convertir los visitantes en compradores con el financiamiento de PayPal Credit®. Sus clientes tienen más tiempo para pagar, recibe el pago por adelantado – sin costo adicional para usted.                         Uso gratis banners de PayPal que anuncian el financiamiento PayPal Credit® como una opción de pago cuando sus clientes pagan con PayPal.                         El programa de publicidad de PayPal ha demostrado generar compras adicionales así como incrementar los tamaños promedio de compra del consumidor en 15% o más. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Ver más información</a>."
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> ¿Por qué anunciar financiamiento?</a> <br/>                         <strong>Impulsa tus ventas cuando anuncias financiamiento.</strong> <br/> PayPal ayuda a convertir los visitantes en compradores con el financiamiento de PayPal Credit®. Sus clientes tienen más tiempo para pagar, recibe el pago por adelantado – sin costo adicional para usted.                         Uso gratis banners de PayPal que anuncian el financiamiento PayPal Credit® como una opción de pago cuando sus clientes pagan con PayPal.                         El programa de publicidad de PayPal ha demostrado generar compras adicionales así como incrementar los tamaños promedio de compra del consumidor en 15% o más. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Ver más información</a>."
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone""> %store_phone</a>"
"<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts","<b>Importante</b>: Si selecciona ""Usar Generación Automática"", esta regla ya no se utilizará en cualquier normativa de recordatorio automatizado de email para carritos abandonados"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> error 404</h1><p>Página no encontrada.</p>"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>desde</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>hasta</span></label>"
"<pre> %1 </pre>",<pre>%1</pre>
"<span class=""label"">Order Date:</span> %1","<span class=""label""> Fecha de pedido:</span> %1"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> artículo(s) requieren su atención.</span>"
"<span>Item %1</span> of %2","<span>Artículo %1</span> de %2"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red""> ADVERTENCIA!</strong> Por defecto esta característica restringe todas las categorías."
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Advertencia!</strong> Cuando se usa el código de tienda en las URL, en algunos casos sistema puede no funcionar correctamente si se especifican direcciones URL sin memorizar los códigos en los servicios de terceros (por ejemplo, PayPal etc..)."
"<strong>%1 item</strong> were found using the following search criteria","<strong>artículo %1</strong> se encontraron con los siguientes criterios de búsqueda"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 artículos</strong> se encontraron con los siguientes criterios de búsqueda"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Aviso</strong>: Captcha es sensible a mayúsculas."
"${ $.visible } out of ${ $.total } visible","${ $.visible } de ${ $.total } visible"
"1 column","1 columna"
"1 Day Freight","Un día de flete"
"1 Hour","1 hora"
"1 item","1 artículo"
"1 item in wish list","1 artículo en lista de deseos"
"10 minutes","10 minutos"
"12 Hours","12 horas"
"15 minutes","15 minutos"
"2 columns with left bar","2 columnas con barra a la izquierda"
"2 columns with right bar","2 columnas con barra a la derecha"
"2 Day","Dos días"
"2 Day AM","Segundo día por la mañana"
"2 Day Freight","Dos días de flete"
"2 Hours","2 horas"
"2-pixel perimeter around the header space.","Perímetro de 2 píxeles alrededor del espacio de cabera."
"20 minutes","20 minutos"
"24 Hours","24 horas"
"2nd Day Air","2º día en avión"
"2nd Day Air AM","2º día en avión por la mañana"
"2nd Day Air AM Letter","2º día por correo aéreo por la mañana"
"2nd Day Air Letter","2º día por correo aéreo"
"3 columns","3 columnas"
"3 Day Freight","Tres días de flete"
"3 Day Select","Seleccione 3 días"
"30 minutes","30 minutos"
"3D Secure Verification","Verificación 3D segura"
"3D Secure Verification Settings","Configuración de verificación 3D segura"
"5 minutes","5 minutos"
"503 Service Unavailable","503 Servicio no disponible"
"6 Hours","6 horas"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","La opción predeterminada es 86400, si no se la configura. Para actualizarla instantáneamente, borre el caché de salida de bloques HTML."
"A block identifier with the same properties already exists in the selected store.","Ein Block-Bezeichner mit denselben Eigenschaften existiert bereits in dem ausgewählten Laden."
"A case that has been resolved and close requires a reimbursement.","Un caso que se ha resuelto y cerrado requiere un reembolso."
"A class with the same name already exists for ClassType %1.","Una clase con el mismo nombre ya existe para ClassType %1."
"A consumer with ID %1 does not exist","Consumidor con ID %1 no existe"
"A consumer with the ID %1 does not exist","Consumidor con ID %1 no existe"
"A customer website ID must be specified when using the website scope.","Un ID de cliente web se debe especificar utilizando el alcance del sitio Web."
"A customer with the same email already exists in an associated website.","Un cliente con el mismo correo electrónico ya existe en un sitio web asociado."
"A fieldset with the same code alredy exists.","Un conjunto de campos con el mismo código ya existe."
"A group with the same name already exists.","Ya existe un grupo con el mismo nombre."
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","Un producto agrupado se compone de varios productos independientes que se presentan como un grupo. Puede ofrecer variaciones de un solo producto o agruparlos por temporada o un tema para crear un conjunto coordinado. Cada producto puede ser comprado por separado o como parte del grupo."
"A hold action is not available.","Una acción de retención no está disponible."
"A letter with further instructions will be sent to your email.","Se enviara un correo con mas instrucciones a su cuenta de correo."
"A login and a password are required.","Se requieren nombre de usuario y contraseña."
"A match of the Shipping Address City, State, and Postal Code failed.","Una combinación de la Dirección de Envío, Provincia y Código Postal no es correcta."
"A name is required.","Se requiere un nombre."
"A payer is not identified.","El pagador no se ha identificado."
"A payment method is not defined.","Método de pago no está definido."
"A PDF object is not specified.","Objeto PDF no especificado."
"A PDF page object is not specified.","Objeto de página PDF no especificado."
"A positive or negative non-decimal number please","Positiva o negativa no decimal número por favor"
"A product type is not defined for the indexer.","No hay un tipo de artículo definido para el motor de indexación."
"Are you sure you would like to remove this item from the shopping cart?","¿Estas Seguro que queres eliminar este producto del carrito?"
"A quantity of %1 is greater than you can return.","Cantidad de %1 es mayor que puede volver."
"A quantity you're trying to add exceeds the number of products we shipped.","Una cantidad que está tratando de añadir excede el número de productos que enviamos."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Se ha producido una revocación en esta transacción a causa de un conflicto con un cliente que sospecha que se le ha engañado sin su autorización."
"A reversal has occurred on this transaction because you have given the customer a refund.","Se ha producido una revocación en esta transacción porque ha efectuado un reembolso al cliente."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Se ha producido una revocación en esta transacción a causa de una cancelación de cargo por parte del cliente."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Se ha producido una revocación en esta transacción a causa de una queja acerca de la misma por parte del cliente."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Se ha producido una revocación en esta transacción a causa de que el cliente ha puesto en marcha la garantía de devolución del dinero."
"A row with this email, website, and finance website combination already exists.","Una fila con esta combinación de correo electrónico, sitio web y página web de finanzas ya existe."
"A shipping selection is not applicable.","Una selección de envío no es aplicable."
"A token with consumer ID %1 does not exist","El token con el ID de consumidor %1 no existe"
"A token with consumer ID 0 does not exist","El token con el ID de consumidor 0 no existe"
"A total of %1 record(s) have been deleted.","Se ha(n) eliminado un total de %1 registro(s)."
"A total of %1 record(s) have been disabled.","Se han deshabilitado un total de %1 registro(s)."
"A total of %1 record(s) have been enabled.","Se han habilitado un total de %1 registros."
"A total of %1 record(s) have been marked as Read.","Un total de %1 registro(s) se han marcado como leídos."
"A total of %1 record(s) have been updated.","Se han actualizado un total de %1 registro(s)."
"A total of %1 record(s) were deleted.","Un total de %1 registros fueron eliminados."
"A total of %1 record(s) were updated.","Un total de %1 registro(s) fueron actualizados."
"A user with the same user name or email already exists.","Ya existe un usuario con el mismo nombre de usuario o correo electrónico."
"A wrong PayPal Express Checkout Token is specified.","Se ha especificado incorrectamente un Token de PayPal Express Checkout."
"Abandoned Cart","Carritos abandonados"
"Abandoned carts","Carritos abandonados"
"Abandoned Carts","Carritos abandonados"
"Ability for buyer to purchase without PayPal account.","Capacidad del comprador para comprar sin cuenta PayPal."
"About the calendar","Acerca del calendario"
"About Us","Acerca de nosotros"
"About Your Invoice","Acerca de su factura"
"About Your Order","Acerca de su pedido"
"About Your Refund","Acerca de su devolución"
"About Your Shipment","Acerca de su envío"
"Accept or Deny Payment","Aceptar o rechazar pago"
"Accept Payment","Aceptar el pago"
"Accept payments with a completely customizable checkout page.","Acepta pagos con una página de procesos de compra en línea completamente personalizable."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Acepte pagos según la normativa PCI en procesos de compra en línea con el objetivo de que sus cliente permanezcan en el sitio durante dicho proceso."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Acepte pagos según la normativa PCI en procesos de compra en línea con el objetivo de que los clientes permanezcan en su sitio durante dicho proceso."
"Accept Rate","Tasa de Aceptación"
